time,x,y,yaw,vel,accel,steer,theta
86,2.4246,-1.09204,-1.48976,1.99223,-0.426906,-0.129213,2.89554
87,2.42639,-1.21181,-1.53796,2.0033,0.570863,-0.10123,3.00554
88,2.42151,-1.37182,-1.59271,2.00895,0.566212,-0.0996417,3.13554
89,2.41338,-1.4919,-1.62646,2.00348,-0.368997,-0.0860098,3.24554
90,2.39672,-1.65202,-1.66804,2.01203,-0.383585,-0.0794248,3.37554
91,2.38042,-1.77215,-1.6964,2.02911,-0.229522,-0.0927785,3.48554
92,2.36076,-1.89175,-1.72487,2.0167,0.450414,-0.0908949,3.60554
93,2.32035,-2.09015,-1.77194,2.04879,-1.02052,-0.0785804,3.76554
94,2.30144,-2.16967,-1.79113,2.02802,-1.02068,-0.0876153,3.87554
95,2.27061,-2.28672,-1.81987,2.00688,-0.399714,-0.0879986,3.98554
96,2.23606,-2.40244,-1.85141,2.02031,0.576823,-0.0879176,4.10554
97,2.19812,-2.51739,-1.88015,2.01468,-0.456289,-0.0700836,4.21554
98,2.1569,-2.63145,-1.90852,2.02766,-0.886419,-0.0839344,4.32554
99,2.11269,-2.74374,-1.93703,2.00294,-0.0227008,-0.0806648,4.43554
100,2.06533,-2.85467,-1.9652,2.01301,0.602285,-0.0776282,4.54554
101,2.01481,-2.96429,-1.99346,2.01028,-0.419125,-0.0887085,4.66554
102,1.96117,-3.07257,-2.02181,2.00183,0.274254,-0.0985305,4.78554
103,1.90419,-3.17876,-2.05364,2.00028,0.0173937,-0.0967527,4.91554
104,1.84349,-3.28271,-2.08831,2.01516,0.454005,-0.102625,5.05554
105,1.77879,-3.3844,-2.12493,2.0024,-0.549203,-0.0892222,5.17554
106,1.71081,-3.48371,-2.15958,2.00949,0.449912,-0.0932596,5.28554
107,1.64011,-3.58089,-2.18923,1.99666,-0.534164,-0.0717358,5.39554
108,1.56688,-3.67599,-2.21745,2.00442,0.470256,-0.0732532,5.50554
109,1.49109,-3.76892,-2.2456,1.99297,0.0461552,-0.0554157,5.61554
110,1.41264,-3.85998,-2.27215,2.01401,0.512398,-0.0427792,5.72554
111,1.33256,-3.95011,-2.29024,2.00565,-0.4081,-0.016879,5.83554
112,1.25149,-4.03963,-2.3012,2.02072,0.603986,-0.00882857,5.95554
113,1.15631,-4.14408,-2.30799,2.02076,0.410097,0.00922532,6.09554
114,1.06104,-4.24838,-2.30959,2.01085,0.524317,0.0345919,6.23554
115,0.979829,-4.33857,-2.30452,2.02168,0.347101,0.0494053,6.35554
116,0.899549,-4.43025,-2.29279,2.03648,-0.494976,0.0527835,6.46554
117,0.820657,-4.52374,-2.2762,2.04224,0.423782,0.0633775,6.58554
118,0.743517,-4.6185,-2.25906,2.03656,-0.20956,0.0853797,6.70554
119,0.668414,-4.71584,-2.23393,2.05696,0.426271,0.0996148,6.84554
120,0.596317,-4.81546,-2.20497,2.04203,-0.641586,0.100914,6.97554
121,0.527908,-4.91716,-2.17254,2.04359,0.370796,0.121435,7.10554
122,0.463754,-5.02106,-2.13422,2.02977,-0.42858,0.125828,7.23554
123,0.384461,-5.16476,-2.0796,2.06524,0.134368,0.14459,7.40554
124,0.331226,-5.27645,-2.0286,2.0488,-0.912826,0.151043,7.52554
125,0.284465,-5.38968,-1.9765,2.03475,0.015511,0.163707,7.64554
126,0.243795,-5.50503,-1.92477,2.0434,0.539425,0.17865,7.76554
127,0.210358,-5.62303,-1.86378,2.04162,-0.768426,0.184767,7.88554
128,0.184657,-5.7426,-1.80059,2.0355,0.238289,0.201398,8.01554
129,0.166861,-5.86289,-1.73629,2.03637,0.552151,0.241409,8.12554
130,0.15846,-5.98454,-1.66062,2.02968,-0.451909,0.254048,8.25554
131,0.160883,-6.10665,-1.57576,2.04262,0.546291,0.256726,8.37554
132,0.182299,-6.26809,-1.44937,2.02951,0.352571,0.295991,8.52554
133,0.20646,-6.36717,-1.36894,2.05483,-0.43422,0.310433,8.65554
134,0.239055,-6.46474,-1.28516,2.06601,-0.556413,0.312719,8.77554
